Ano,IPCA,Index
2024,"0,0483","100,0"
2023,"0,0462","95,39254030334828"
2022,"0,0579","91,18002323011689"
2021,"0,10060000000000001","86,18964290586717"
2020,"0,0452","78,31150545690275"
2019,"0,0431","74,9248999779016"
2018,"0,0375","71,82906718234264"
2017,"0,029500000000000002","69,23283583840254"
2016,"0,0629","67,24899061525258"
2015,"0,1067","63,26934858900422"
2014,"0,0641","57,16937615343292"
2013,"0,0591","53,72556729013525"
2012,"0,0584","50,7275680201447"
2011,"0,065","47,928541213288646"
2010,"0,0591","45,00332508290014"
2009,"0,0431","42,492045210933945"
2008,"0,059000000000000004","40,736310239606894"
2007,"0,0446","38,46677076450132"
2006,"0,031400000000000004","36,8244024167158"
2005,"0,056900000000000006","35,703318224467516"
2004,"0,076","33,78116967023136"
2003,"0,09300000000000001","31,395139098728023"
2002,"0,1253","28,72382351210249"
2001,"0,0767","25,525480771440943"
2000,"0,059699999999999996","23,707142910226565"
1999,"0,0894","22,37156073438385"
1998,"0,0165","20,535671685683724"
1997,"0,052199999999999996","20,2023331880804"
1996,"0,0956","19,20008856498802"
1995,"0,2241","17,524724867641496"
1994,"9,1646","14,316416034344822"
1993,"24,7715","1,4084583785239775"
1992,"11,190999999999999","0,054651781173931574"
1991,"4,727","0,004482961297180837"
1990,"16,2097","0,0007827765491847104"
1989,"19,729100000000003","4,5484613281155996e-05"
1988,"9,802100000000001","2,1942396573491367e-06"
1987,"3,6341","2,0313084097991468e-07"
1986,"0,7966","4,3833935603442884e-08"
1985,"2,4223","2,4398272071380878e-08"
1984,"2,1526","7,129203188318055e-09"
1983,"1,6401","2,2613725776559206e-09"
1982,"1,0479","8,565480768364535e-10"
1981,"0,9562","4,182567883375425e-10"
1980,"0,9925","2,1381085182371053e-10"
