"Estado","Variável","Mês","Sexo","Valor","Região","População"
"Acre","Estupro",2019-01-01,"Feminino",32,"Norte",415332
"Acre","Estupro",2019-01-01,"Masculino",4,"Norte",414686
"Acre","Estupro",2019-01-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2019-01-01,"Total",36,"Norte",830018
"Acre","Estupro",2019-02-01,"Feminino",31,"Norte",415332
"Acre","Estupro",2019-02-01,"Masculino",5,"Norte",414686
"Acre","Estupro",2019-02-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2019-02-01,"Total",36,"Norte",830018
"Acre","Estupro",2019-03-01,"Feminino",26,"Norte",415332
"Acre","Estupro",2019-03-01,"Masculino",5,"Norte",414686
"Acre","Estupro",2019-03-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2019-03-01,"Total",31,"Norte",830018
"Acre","Estupro",2019-04-01,"Feminino",25,"Norte",415332
"Acre","Estupro",2019-04-01,"Masculino",2,"Norte",414686
"Acre","Estupro",2019-04-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2019-04-01,"Total",27,"Norte",830018
"Acre","Estupro",2019-05-01,"Feminino",19,"Norte",415332
"Acre","Estupro",2019-05-01,"Masculino",2,"Norte",414686
"Acre","Estupro",2019-05-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2019-05-01,"Total",21,"Norte",830018
"Acre","Estupro",2019-06-01,"Feminino",38,"Norte",415332
"Acre","Estupro",2019-06-01,"Masculino",3,"Norte",414686
"Acre","Estupro",2019-06-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2019-06-01,"Total",41,"Norte",830018
"Acre","Estupro",2019-07-01,"Feminino",24,"Norte",415332
"Acre","Estupro",2019-07-01,"Masculino",2,"Norte",414686
"Acre","Estupro",2019-07-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2019-07-01,"Total",26,"Norte",830018
"Acre","Estupro",2019-08-01,"Feminino",29,"Norte",415332
"Acre","Estupro",2019-08-01,"Masculino",7,"Norte",414686
"Acre","Estupro",2019-08-01,"Não informado",1,"Norte",NA
"Acre","Estupro",2019-08-01,"Total",37,"Norte",830018
"Acre","Estupro",2019-09-01,"Feminino",31,"Norte",415332
"Acre","Estupro",2019-09-01,"Masculino",1,"Norte",414686
"Acre","Estupro",2019-09-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2019-09-01,"Total",32,"Norte",830018
"Acre","Estupro",2019-10-01,"Feminino",20,"Norte",415332
"Acre","Estupro",2019-10-01,"Masculino",0,"Norte",414686
"Acre","Estupro",2019-10-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2019-10-01,"Total",20,"Norte",830018
"Acre","Estupro",2019-11-01,"Feminino",25,"Norte",415332
"Acre","Estupro",2019-11-01,"Masculino",5,"Norte",414686
"Acre","Estupro",2019-11-01,"Não informado",1,"Norte",NA
"Acre","Estupro",2019-11-01,"Total",31,"Norte",830018
"Acre","Estupro",2019-12-01,"Feminino",22,"Norte",415332
"Acre","Estupro",2019-12-01,"Masculino",1,"Norte",414686
"Acre","Estupro",2019-12-01,"Não informado",1,"Norte",NA
"Acre","Estupro",2019-12-01,"Total",24,"Norte",830018
"Acre","Estupro",2020-01-01,"Feminino",22,"Norte",415332
"Acre","Estupro",2020-01-01,"Masculino",3,"Norte",414686
"Acre","Estupro",2020-01-01,"Não informado",2,"Norte",NA
"Acre","Estupro",2020-01-01,"Total",27,"Norte",830018
"Acre","Estupro",2020-02-01,"Feminino",30,"Norte",415332
"Acre","Estupro",2020-02-01,"Masculino",3,"Norte",414686
"Acre","Estupro",2020-02-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2020-02-01,"Total",33,"Norte",830018
"Acre","Estupro",2020-03-01,"Feminino",19,"Norte",415332
"Acre","Estupro",2020-03-01,"Masculino",2,"Norte",414686
"Acre","Estupro",2020-03-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2020-03-01,"Total",21,"Norte",830018
"Acre","Estupro",2020-04-01,"Feminino",22,"Norte",415332
"Acre","Estupro",2020-04-01,"Masculino",4,"Norte",414686
"Acre","Estupro",2020-04-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2020-04-01,"Total",26,"Norte",830018
"Acre","Estupro",2020-05-01,"Feminino",11,"Norte",415332
"Acre","Estupro",2020-05-01,"Masculino",3,"Norte",414686
"Acre","Estupro",2020-05-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2020-05-01,"Total",14,"Norte",830018
"Acre","Estupro",2020-06-01,"Feminino",22,"Norte",415332
"Acre","Estupro",2020-06-01,"Masculino",2,"Norte",414686
"Acre","Estupro",2020-06-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2020-06-01,"Total",24,"Norte",830018
"Acre","Estupro",2020-07-01,"Feminino",17,"Norte",415332
"Acre","Estupro",2020-07-01,"Masculino",2,"Norte",414686
"Acre","Estupro",2020-07-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2020-07-01,"Total",19,"Norte",830018
"Acre","Estupro",2020-08-01,"Feminino",36,"Norte",415332
"Acre","Estupro",2020-08-01,"Masculino",3,"Norte",414686
"Acre","Estupro",2020-08-01,"Não informado",2,"Norte",NA
"Acre","Estupro",2020-08-01,"Total",41,"Norte",830018
"Acre","Estupro",2020-09-01,"Feminino",26,"Norte",415332
"Acre","Estupro",2020-09-01,"Masculino",3,"Norte",414686
"Acre","Estupro",2020-09-01,"Não informado",4,"Norte",NA
"Acre","Estupro",2020-09-01,"Total",33,"Norte",830018
"Acre","Estupro",2020-10-01,"Feminino",41,"Norte",415332
"Acre","Estupro",2020-10-01,"Masculino",3,"Norte",414686
"Acre","Estupro",2020-10-01,"Não informado",2,"Norte",NA
"Acre","Estupro",2020-10-01,"Total",46,"Norte",830018
"Acre","Estupro",2020-11-01,"Feminino",41,"Norte",415332
"Acre","Estupro",2020-11-01,"Masculino",7,"Norte",414686
"Acre","Estupro",2020-11-01,"Não informado",1,"Norte",NA
"Acre","Estupro",2020-11-01,"Total",49,"Norte",830018
"Acre","Estupro",2020-12-01,"Feminino",30,"Norte",415332
"Acre","Estupro",2020-12-01,"Masculino",0,"Norte",414686
"Acre","Estupro",2020-12-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2020-12-01,"Total",30,"Norte",830018
"Acre","Estupro",2021-01-01,"Feminino",49,"Norte",415332
"Acre","Estupro",2021-01-01,"Masculino",5,"Norte",414686
"Acre","Estupro",2021-01-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2021-01-01,"Total",54,"Norte",830018
"Acre","Estupro",2021-02-01,"Feminino",26,"Norte",415332
"Acre","Estupro",2021-02-01,"Masculino",2,"Norte",414686
"Acre","Estupro",2021-02-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2021-02-01,"Total",28,"Norte",830018
"Acre","Estupro",2021-03-01,"Feminino",23,"Norte",415332
"Acre","Estupro",2021-03-01,"Masculino",3,"Norte",414686
"Acre","Estupro",2021-03-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2021-03-01,"Total",26,"Norte",830018
"Acre","Estupro",2021-04-01,"Feminino",45,"Norte",415332
"Acre","Estupro",2021-04-01,"Masculino",3,"Norte",414686
"Acre","Estupro",2021-04-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2021-04-01,"Total",48,"Norte",830018
"Acre","Estupro",2021-05-01,"Feminino",34,"Norte",415332
"Acre","Estupro",2021-05-01,"Masculino",1,"Norte",414686
"Acre","Estupro",2021-05-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2021-05-01,"Total",35,"Norte",830018
"Acre","Estupro",2021-06-01,"Feminino",49,"Norte",415332
"Acre","Estupro",2021-06-01,"Masculino",4,"Norte",414686
"Acre","Estupro",2021-06-01,"Não informado",1,"Norte",NA
"Acre","Estupro",2021-06-01,"Total",54,"Norte",830018
"Acre","Estupro",2021-07-01,"Feminino",48,"Norte",415332
"Acre","Estupro",2021-07-01,"Masculino",2,"Norte",414686
"Acre","Estupro",2021-07-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2021-07-01,"Total",50,"Norte",830018
"Acre","Estupro",2021-08-01,"Feminino",37,"Norte",415332
"Acre","Estupro",2021-08-01,"Masculino",3,"Norte",414686
"Acre","Estupro",2021-08-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2021-08-01,"Total",40,"Norte",830018
"Acre","Estupro",2021-09-01,"Feminino",51,"Norte",415332
"Acre","Estupro",2021-09-01,"Masculino",2,"Norte",414686
"Acre","Estupro",2021-09-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2021-09-01,"Total",53,"Norte",830018
"Acre","Estupro",2021-10-01,"Feminino",53,"Norte",415332
"Acre","Estupro",2021-10-01,"Masculino",4,"Norte",414686
"Acre","Estupro",2021-10-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2021-10-01,"Total",57,"Norte",830018
"Acre","Estupro",2021-11-01,"Feminino",49,"Norte",415332
"Acre","Estupro",2021-11-01,"Masculino",2,"Norte",414686
"Acre","Estupro",2021-11-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2021-11-01,"Total",51,"Norte",830018
"Acre","Estupro",2021-12-01,"Feminino",33,"Norte",415332
"Acre","Estupro",2021-12-01,"Masculino",4,"Norte",414686
"Acre","Estupro",2021-12-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2021-12-01,"Total",37,"Norte",830018
"Acre","Estupro",2022-01-01,"Feminino",45,"Norte",415332
"Acre","Estupro",2022-01-01,"Masculino",3,"Norte",414686
"Acre","Estupro",2022-01-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2022-01-01,"Total",48,"Norte",830018
"Acre","Estupro",2022-02-01,"Feminino",38,"Norte",415332
"Acre","Estupro",2022-02-01,"Masculino",3,"Norte",414686
"Acre","Estupro",2022-02-01,"Não informado",1,"Norte",NA
"Acre","Estupro",2022-02-01,"Total",42,"Norte",830018
"Acre","Estupro",2022-03-01,"Feminino",53,"Norte",415332
"Acre","Estupro",2022-03-01,"Masculino",8,"Norte",414686
"Acre","Estupro",2022-03-01,"Não informado",1,"Norte",NA
"Acre","Estupro",2022-03-01,"Total",62,"Norte",830018
"Acre","Estupro",2022-04-01,"Feminino",56,"Norte",415332
"Acre","Estupro",2022-04-01,"Masculino",3,"Norte",414686
"Acre","Estupro",2022-04-01,"Não informado",3,"Norte",NA
"Acre","Estupro",2022-04-01,"Total",62,"Norte",830018
"Acre","Estupro",2022-05-01,"Feminino",53,"Norte",415332
"Acre","Estupro",2022-05-01,"Masculino",4,"Norte",414686
"Acre","Estupro",2022-05-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2022-05-01,"Total",57,"Norte",830018
"Acre","Estupro",2022-06-01,"Feminino",50,"Norte",415332
"Acre","Estupro",2022-06-01,"Masculino",5,"Norte",414686
"Acre","Estupro",2022-06-01,"Não informado",4,"Norte",NA
"Acre","Estupro",2022-06-01,"Total",59,"Norte",830018
"Acre","Estupro",2022-07-01,"Feminino",73,"Norte",415332
"Acre","Estupro",2022-07-01,"Masculino",2,"Norte",414686
"Acre","Estupro",2022-07-01,"Não informado",2,"Norte",NA
"Acre","Estupro",2022-07-01,"Total",77,"Norte",830018
"Acre","Estupro",2022-08-01,"Feminino",62,"Norte",415332
"Acre","Estupro",2022-08-01,"Masculino",4,"Norte",414686
"Acre","Estupro",2022-08-01,"Não informado",2,"Norte",NA
"Acre","Estupro",2022-08-01,"Total",68,"Norte",830018
"Acre","Estupro",2022-09-01,"Feminino",58,"Norte",415332
"Acre","Estupro",2022-09-01,"Masculino",3,"Norte",414686
"Acre","Estupro",2022-09-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2022-09-01,"Total",61,"Norte",830018
"Acre","Estupro",2022-10-01,"Feminino",57,"Norte",415332
"Acre","Estupro",2022-10-01,"Masculino",3,"Norte",414686
"Acre","Estupro",2022-10-01,"Não informado",1,"Norte",NA
"Acre","Estupro",2022-10-01,"Total",61,"Norte",830018
"Acre","Estupro",2022-11-01,"Feminino",55,"Norte",415332
"Acre","Estupro",2022-11-01,"Masculino",3,"Norte",414686
"Acre","Estupro",2022-11-01,"Não informado",4,"Norte",NA
"Acre","Estupro",2022-11-01,"Total",62,"Norte",830018
"Acre","Estupro",2022-12-01,"Feminino",61,"Norte",415332
"Acre","Estupro",2022-12-01,"Masculino",9,"Norte",414686
"Acre","Estupro",2022-12-01,"Não informado",7,"Norte",NA
"Acre","Estupro",2022-12-01,"Total",77,"Norte",830018
"Acre","Estupro",2023-01-01,"Feminino",63,"Norte",415332
"Acre","Estupro",2023-01-01,"Masculino",3,"Norte",414686
"Acre","Estupro",2023-01-01,"Não informado",1,"Norte",NA
"Acre","Estupro",2023-01-01,"Total",67,"Norte",830018
"Acre","Estupro",2023-02-01,"Feminino",43,"Norte",415332
"Acre","Estupro",2023-02-01,"Masculino",5,"Norte",414686
"Acre","Estupro",2023-02-01,"Não informado",6,"Norte",NA
"Acre","Estupro",2023-02-01,"Total",54,"Norte",830018
"Acre","Estupro",2023-03-01,"Feminino",42,"Norte",415332
"Acre","Estupro",2023-03-01,"Masculino",7,"Norte",414686
"Acre","Estupro",2023-03-01,"Não informado",3,"Norte",NA
"Acre","Estupro",2023-03-01,"Total",52,"Norte",830018
"Acre","Estupro",2023-04-01,"Feminino",44,"Norte",415332
"Acre","Estupro",2023-04-01,"Masculino",5,"Norte",414686
"Acre","Estupro",2023-04-01,"Não informado",3,"Norte",NA
"Acre","Estupro",2023-04-01,"Total",52,"Norte",830018
"Acre","Estupro",2023-05-01,"Feminino",52,"Norte",415332
"Acre","Estupro",2023-05-01,"Masculino",4,"Norte",414686
"Acre","Estupro",2023-05-01,"Não informado",3,"Norte",NA
"Acre","Estupro",2023-05-01,"Total",59,"Norte",830018
"Acre","Estupro",2023-06-01,"Feminino",62,"Norte",415332
"Acre","Estupro",2023-06-01,"Masculino",4,"Norte",414686
"Acre","Estupro",2023-06-01,"Não informado",2,"Norte",NA
"Acre","Estupro",2023-06-01,"Total",68,"Norte",830018
"Acre","Estupro",2023-07-01,"Feminino",50,"Norte",415332
"Acre","Estupro",2023-07-01,"Masculino",4,"Norte",414686
"Acre","Estupro",2023-07-01,"Não informado",0,"Norte",NA
"Acre","Estupro",2023-07-01,"Total",54,"Norte",830018
"Acre","Estupro",2023-08-01,"Feminino",61,"Norte",415332
"Acre","Estupro",2023-08-01,"Masculino",3,"Norte",414686
