"Estado","Variável","Mês","Valor","Região"
"Acre","Apreensão de Cocaína",2019-01-01,14.646,"Norte"
"Acre","Apreensão de Cocaína",2019-02-01,133.126,"Norte"
"Acre","Apreensão de Cocaína",2019-03-01,1.281,"Norte"
"Acre","Apreensão de Cocaína",2019-04-01,41.53,"Norte"
"Acre","Apreensão de Cocaína",2019-05-01,4.385,"Norte"
"Acre","Apreensão de Cocaína",2019-06-01,9.468,"Norte"
"Acre","Apreensão de Cocaína",2019-07-01,16.141,"Norte"
"Acre","Apreensão de Cocaína",2019-08-01,5.496,"Norte"
"Acre","Apreensão de Cocaína",2019-09-01,8.071,"Norte"
"Acre","Apreensão de Cocaína",2019-10-01,4.335,"Norte"
"Acre","Apreensão de Cocaína",2019-11-01,1.704,"Norte"
"Acre","Apreensão de Cocaína",2019-12-01,13.782,"Norte"
"Acre","Apreensão de Cocaína",2020-01-01,17.061,"Norte"
"Acre","Apreensão de Cocaína",2020-02-01,76.627,"Norte"
"Acre","Apreensão de Cocaína",2020-03-01,89.587,"Norte"
"Acre","Apreensão de Cocaína",2020-04-01,4.439,"Norte"
"Acre","Apreensão de Cocaína",2020-05-01,6.916,"Norte"
"Acre","Apreensão de Cocaína",2020-06-01,54.796,"Norte"
"Acre","Apreensão de Cocaína",2020-07-01,37.312,"Norte"
"Acre","Apreensão de Cocaína",2020-08-01,164.642,"Norte"
"Acre","Apreensão de Cocaína",2020-09-01,23.252,"Norte"
"Acre","Apreensão de Cocaína",2020-10-01,14.357,"Norte"
"Acre","Apreensão de Cocaína",2020-11-01,39.038,"Norte"
"Acre","Apreensão de Cocaína",2020-12-01,42.279,"Norte"
"Acre","Apreensão de Cocaína",2021-01-01,12.983,"Norte"
"Acre","Apreensão de Cocaína",2021-02-01,55.804,"Norte"
"Acre","Apreensão de Cocaína",2021-03-01,17.076,"Norte"
"Acre","Apreensão de Cocaína",2021-04-01,61.95,"Norte"
"Acre","Apreensão de Cocaína",2021-05-01,11.584,"Norte"
"Acre","Apreensão de Cocaína",2021-06-01,42.634,"Norte"
"Acre","Apreensão de Cocaína",2021-07-01,29.284,"Norte"
"Acre","Apreensão de Cocaína",2021-08-01,59.442,"Norte"
"Acre","Apreensão de Cocaína",2021-09-01,72.034,"Norte"
"Acre","Apreensão de Cocaína",2021-10-01,67.436,"Norte"
"Acre","Apreensão de Cocaína",2021-11-01,67.589,"Norte"
"Acre","Apreensão de Cocaína",2021-12-01,20.226,"Norte"
"Acre","Apreensão de Cocaína",2022-01-01,13.071,"Norte"
"Acre","Apreensão de Cocaína",2022-02-01,168.178,"Norte"
"Acre","Apreensão de Cocaína",2022-03-01,13.418,"Norte"
"Acre","Apreensão de Cocaína",2022-04-01,22.135,"Norte"
"Acre","Apreensão de Cocaína",2022-05-01,170.69,"Norte"
"Acre","Apreensão de Cocaína",2022-06-01,140.548,"Norte"
"Acre","Apreensão de Cocaína",2022-07-01,22.889,"Norte"
"Acre","Apreensão de Cocaína",2022-08-01,55.972,"Norte"
"Acre","Apreensão de Cocaína",2022-09-01,37.737,"Norte"
"Acre","Apreensão de Cocaína",2022-10-01,9.814,"Norte"
"Acre","Apreensão de Cocaína",2022-11-01,65.665,"Norte"
"Acre","Apreensão de Cocaína",2022-12-01,28.022,"Norte"
"Acre","Apreensão de Cocaína",2023-01-01,48.366,"Norte"
"Acre","Apreensão de Cocaína",2023-02-01,220.264,"Norte"
"Acre","Apreensão de Cocaína",2023-03-01,27.076,"Norte"
"Acre","Apreensão de Cocaína",2023-04-01,103.742,"Norte"
"Acre","Apreensão de Cocaína",2023-05-01,63.12,"Norte"
"Acre","Apreensão de Cocaína",2023-06-01,11.294,"Norte"
"Acre","Apreensão de Cocaína",2023-07-01,23.788,"Norte"
"Acre","Apreensão de Cocaína",2023-08-01,10.307,"Norte"
"Acre","Apreensão de Cocaína",2023-09-01,34.039,"Norte"
"Acre","Apreensão de Cocaína",2023-10-01,28.96,"Norte"
"Acre","Apreensão de Cocaína",2023-11-01,6.624,"Norte"
"Acre","Apreensão de Cocaína",2023-12-01,59.924,"Norte"
"Acre","Apreensão de Cocaína",2024-01-01,5.815,"Norte"
"Acre","Apreensão de Cocaína",2024-02-01,18.881,"Norte"
"Acre","Apreensão de Cocaína",2024-03-01,0,"Norte"
"Acre","Apreensão de Maconha",2019-01-01,16.735,"Norte"
"Acre","Apreensão de Maconha",2019-02-01,75.229,"Norte"
"Acre","Apreensão de Maconha",2019-03-01,32.779,"Norte"
"Acre","Apreensão de Maconha",2019-04-01,36.472,"Norte"
"Acre","Apreensão de Maconha",2019-05-01,35.942,"Norte"
"Acre","Apreensão de Maconha",2019-06-01,7.574,"Norte"
"Acre","Apreensão de Maconha",2019-07-01,54.467,"Norte"
"Acre","Apreensão de Maconha",2019-08-01,202.327,"Norte"
"Acre","Apreensão de Maconha",2019-09-01,53.015,"Norte"
"Acre","Apreensão de Maconha",2019-10-01,18.833,"Norte"
"Acre","Apreensão de Maconha",2019-11-01,3.471,"Norte"
"Acre","Apreensão de Maconha",2019-12-01,46.889,"Norte"
"Acre","Apreensão de Maconha",2020-01-01,36.881,"Norte"
"Acre","Apreensão de Maconha",2020-02-01,8.809,"Norte"
"Acre","Apreensão de Maconha",2020-03-01,7.236,"Norte"
"Acre","Apreensão de Maconha",2020-04-01,10.014,"Norte"
"Acre","Apreensão de Maconha",2020-05-01,44.833,"Norte"
"Acre","Apreensão de Maconha",2020-06-01,6.462,"Norte"
"Acre","Apreensão de Maconha",2020-07-01,49.894,"Norte"
"Acre","Apreensão de Maconha",2020-08-01,56.638,"Norte"
"Acre","Apreensão de Maconha",2020-09-01,31.833,"Norte"
"Acre","Apreensão de Maconha",2020-10-01,7.339,"Norte"
"Acre","Apreensão de Maconha",2020-11-01,6.136,"Norte"
"Acre","Apreensão de Maconha",2020-12-01,71.637,"Norte"
"Acre","Apreensão de Maconha",2021-01-01,176.629,"Norte"
"Acre","Apreensão de Maconha",2021-02-01,10.765,"Norte"
